iter	Logloss
0	0.6891463232
1	0.6843953586
2	0.681109847
3	0.6778807665
4	0.6749723002
5	0.6718716795
6	0.6690106929
7	0.6668929442
8	0.6649832569
9	0.6628998122
10	0.6609087364
11	0.6595159888
12	0.6576502699
13	0.6563370438
14	0.6548604841
15	0.6535483113
16	0.6517418331
17	0.6504619393
18	0.6490210915
19	0.6477399775
20	0.6466279234
21	0.6452402911
22	0.6437429901
23	0.6426762169
24	0.641516826
25	0.6405066163
26	0.6390143623
27	0.6380484015
28	0.6367216619
29	0.635642481
30	0.6346171681
31	0.6337197799
32	0.6328565339333	0.63151012
34	0.6307068619
35	0.6298152872336	0.6289875347337	0.6282710389338	0.6274103095339	0.6269606125440	0.6262206341441	0.625355911
42	0.6246780193
43	0.6240994837
44	0.6233308098
45	0.6223895955
46	0.6214545285
47	0.6207302638
48	0.6200958128
49	0.6194468943
50	0.6189544742
51	0.6183855017
52	0.6179305942
53	0.6172752943
54	0.6167381006
55	0.6158725966556	0.6154984688557	0.6150283857558	0.6140559771559	0.6134373709660	0.6127191035661	0.6121015389662	0.6117091896663	0.6112360069664	0.6106929537665	0.6101195228666	0.6095813835667	0.6090379662668	0.6082944275669	0.6073812417070	0.6068324687171	0.6057682707272	0.6052122517373	0.6045595707474	0.603662814775	0.6032164259776	0.6023862177777	0.6018836537878	0.6014007407979	0.6008641008080	0.6003469338181	0.5997282798282	0.5988482138383	0.5981047888484	0.5973804178585	0.5966784968686	0.5960396918787	0.5956602318888	0.5951026568989	0.5945952979090	0.5940051989191	0.5935593329292	0.5931295149393	0.5928135639494	0.5922858029595	0.5917056559696	0.5911476269797	0.5907805299898	0.5901020999	99	0.5895393352
