iter	Passed	Remaining
0	24	2392
1	46	2255
2	68	2230
3	89	2159
4	110	2091
5	130	2041
6	153	2035
7	174	2005
8	194	1964
9	220	1982
10	240	1945
11	260	1908
12	281	1886
13	299	1840
14	317	1799
15	337	1773
16	357	1746
17	374	1706
18	390	1664
19	407	1631
20	425	1601
21	441	1565
22	458	1534
23	474	1503
24	492	1478
25	514	1463
26	528	1428
27	547	1407
28	564	1383
29	582	1358
30	597	1330
31	614	1306
32	631	1282
33	650	1261
34	665	1236
35	682	1213
36	698	1189
37	717	1170
38	734	1148
39	751	1127
40	772	1111
41	789	1090
42	803	1065
43	821	1045
44	838	1024
45	856	1005446	871	982447	889	963448	903	940449	921	921550	934	897551	950	877552	967	858553	986	840554	1002	825555	1019	805656	1035	785757	1050	765858	1066	745959	1084	726060	1099	706161	1115	686262	1133	666363	1149	646464	1166	626565	1183	606666	1200	596767	1217	576868	1232	556969	1248	537070	1265	517171	1282	497272	1300	487373	1317	467474	1334	447575	1350	427676	1368	407777	1384	397878	1400	377979	1417	358080	1433	338181	1450	318282	1466	308383	1483	288484	1500	268585	1518	248686	1534	228787	1552	218888	1569	198989	1587	179090	1606	159191	1623	149292	1643	129393	1659	109494	1677	89595	1695	79696	1710	59797	1729	39898	1744	19999	1761	0
0
95	3079	128
96	3107	96
97	3138	64
98	3163	31
99	3189	0
